Date,Temp,Cond,pH
2020-Jun-03 18:44,18.04,136.20,7.00
2020-Jun-03 18:45,18.06,136.30,7.00
2020-Jun-03 18:52,17.79,136.90,7.00
2020-Jun-03 18:59,17.67,136.50,7.00
2020-Jun-03 19:59,16.83,135.50,7.00
2020-Jun-03 20:59,17.38,135.50,7.00
2020-Jun-03 21:59,16.86,135.40,7.00
2020-Jun-03 22:59,17.10,135.80,7.00
2020-Jun-03 23:59,16.95,134.90,7.00
2020-Jun-04 00:59,17.08,134.30,7.00
2020-Jun-04 01:59,16.81,134.50,7.00
2020-Jun-04 02:59,16.67,133.70,7.00
2020-Jun-04 03:59,17.47,133.40,7.01
2020-Jun-04 04:59,17.45,133.80,7.00
2020-Jun-10 17:46,19.65,105.70,7.00
2020-Jun-10 17:59,19.66,106.10,7.00
2020-Jun-10 18:39,20,106.30,106.30
2020-Jun-10 18:40,20,106106.70,106106.70
2020-Jun-10 18:43,20,106.50,106.50
2020-Jun-10 18:47,20,106.10,106.10
2020-Jun-10 18:59,20,106.30,106.30
2020-Jun-17 16:59,19,128.40,128.40
2020-Jun-17 17:59,19,129.00,129.00
